,features,label
322,"[3.0,735947.0,735968.0,21.0,33.0]",2.0
323,"[6.0,735808.0,735833.0,25.0,10.0]",0.0
324,"[0.0,735893.0,735913.0,20.0,1.0]",3.0
325,"[3.0,735931.0,735954.0,23.0,23.0]",2.0
326,"[1.0,735931.0,735963.0,32.0,338.0]",3.0
327,"[6.0,735916.0,735938.0,22.0,5.0]",3.0
328,"[0.0,735910.0,735941.0,31.0,21.0]",3.0
329,"[2.0,735914.0,735915.0,1.0,180.0]",0.0
330,"[6.0,735961.0,735994.0,33.0,110.0]",0.0
331,"[0.0,735808.0,735829.0,21.0,93.0]",0.0
332,"[5.0,735887.0,735918.0,31.0,6.0]",1.0
333,"[2.0,735871.0,735887.0,16.0,52.0]",0.0
334,"[0.0,735812.0,735829.0,17.0,4.0]",2.0
335,"[4.0,735885.0,735916.0,31.0,10.0]",3.0
336,"[3.0,735837.0,735849.0,12.0,292.0]",0.0
337,"[5.0,735917.0,735939.0,22.0,13.0]",3.0
338,"[0.0,735861.0,735892.0,31.0,6.0]",2.0
339,"[1.0,735873.0,735893.0,20.0,33.0]",0.0
340,"[6.0,735853.0,735875.0,22.0,21.0]",2.0
341,"[6.0,735809.0,735840.0,31.0,12.0]",0.0
342,"[3.0,735960.0,735975.0,15.0,62.0]",1.0
343,"[5.0,735874.0,735883.0,9.0,74.0]",2.0
344,"[5.0,735921.0,735925.0,4.0,143.0]",1.0
345,"[2.0,735920.0,735922.0,2.0,4.0]",2.0
346,"[0.0,735827.0,735850.0,23.0,30.0]",0.0
347,"[6.0,735807.0,735826.0,19.0,1.0]",3.0
348,"[0.0,735815.0,735843.0,28.0,1.0]",1.0
349,"[1.0,735913.0,735914.0,1.0,0.0]",1.0
350,"[6.0,735812.0,735833.0,21.0,62.0]",1.0
351,"[6.0,735885.0,735917.0,32.0,20.0]",0.0
352,"[1.0,735806.0,735809.0,3.0,67.0]",1.0
353,"[2.0,735812.0,735838.0,26.0,3.0]",1.0
354,"[2.0,735895.0,735915.0,20.0,59.0]",1.0
355,"[4.0,735845.0,735874.0,29.0,70.0]",1.0
356,"[3.0,735856.0,735870.0,14.0,110.0]",1.0
357,"[1.0,735838.0,735858.0,20.0,5.0]",1.0
358,"[1.0,735919.0,735942.0,23.0,45.0]",1.0
359,"[5.0,735874.0,735890.0,16.0,219.0]",1.0
360,"[2.0,735852.0,735873.0,21.0,51.0]",2.0
361,"[5.0,735871.0,735890.0,19.0,219.0]",1.0
362,"[4.0,735860.0,735867.0,7.0,38.0]",1.0
363,"[0.0,735870.0,735892.0,22.0,30.0]",0.0
364,"[3.0,735823.0,735842.0,19.0,0.0]",2.0
365,"[3.0,735816.0,735821.0,5.0,26.0]",2.0
366,"[6.0,735956.0,735966.0,10.0,61.0]",0.0
367,"[0.0,735853.0,735864.0,11.0,14.0]",2.0
368,"[4.0,735838.0,735839.0,1.0,62.0]",2.0
369,"[1.0,735806.0,735823.0,17.0,78.0]",1.0
370,"[3.0,735955.0,735961.0,6.0,13.0]",3.0
371,"[4.0,735867.0,735874.0,7.0,35.0]",0.0
372,"[1.0,735928.0,735956.0,28.0,13.0]",0.0
373,"[1.0,735799.0,735802.0,3.0,126.0]",2.0
374,"[2.0,735807.0,735824.0,17.0,36.0]",2.0
375,"[3.0,735883.0,735891.0,8.0,33.0]",1.0
376,"[1.0,735830.0,735851.0,21.0,3.0]",2.0
377,"[0.0,735837.0,735857.0,20.0,31.0]",3.0
378,"[3.0,735904.0,735905.0,1.0,5.0]",0.0
379,"[0.0,735951.0,735969.0,18.0,7.0]",2.0
380,"[5.0,735808.0,735813.0,5.0,134.0]",0.0
381,"[4.0,735957.0,735965.0,8.0,16.0]",0.0
382,"[1.0,735918.0,735928.0,10.0,122.0]",2.0
